Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
26	Node24	2	dev=local(2)	InInterests	2.72	0	2	0
26	Node24	2	dev=local(2)	OutInterests	0.16	0	0	0
26	Node24	2	dev=local(2)	DropInterests	0	0	0	0
26	Node24	2	dev=local(2)	InNacks	0	0	0	0
26	Node24	2	dev=local(2)	OutNacks	0	0	0	0
26	Node24	2	dev=local(2)	DropNacks	0	0	0	0
26	Node24	2	dev=local(2)	InData	0.16	0	0	0
26	Node24	2	dev=local(2)	OutData	2.4	0	2	0
26	Node24	2	dev=local(2)	DropData	0	0	0	0
26	Node24	2	dev=local(2)	InSatisfiedInterests	2.4	0	2	0
26	Node24	2	dev=local(2)	InTimedOutInterests	0	0	0	0
26	Node24	2	dev=local(2)	OutSatisfiedInterests	0.16	0	0	0
26	Node24	2	dev=local(2)	OutTimedOutInterests	4.50888e-10	0	0	0
26	Node24	-1	all	SatisfiedInterests	2.72	0	2	0
26	Node24	-1	all	TimedOutInterests	4.51936e-10	0	0	0
27	Node11	0	dev=net(0)	InInterests	3.66592	0	4	0
27	Node11	0	dev=net(0)	OutInterests	1.66528	0.0731813	2	0.0878906
27	Node11	0	dev=net(0)	DropInterests	0	0	0	0
27	Node11	0	dev=net(0)	InNacks	0	0	0	0
27	Node11	0	dev=net(0)	OutNacks	0	0	0	0
27	Node11	0	dev=net(0)	DropNacks	0	0	0	0
27	Node11	0	dev=net(0)	InData	1.66528	0	2	0
27	Node11	0	dev=net(0)	OutData	3.66336	0.615979	4	0.679688
27	Node11	0	dev=net(0)	DropData	0	0	0	0
27	Node11	0	dev=net(0)	InSatisfiedInterests	3.66336	0	4	0
27	Node11	0	dev=net(0)	InTimedOutInterests	0	0	0	0
27	Node11	0	dev=net(0)	OutSatisfiedInterests	1.66528	0	2	0
27	Node11	0	dev=net(0)	OutTimedOutInterests	6.94157e-11	0	0	0
27	Node11	2	dev=local(2)	InInterests	1.66528	0	2	0
27	Node11	2	dev=local(2)	OutInterests	3.66592	0	4	0
27	Node11	2	dev=local(2)	DropInterests	0	0	0	0
27	Node11	2	dev=local(2)	InNacks	0	0	0	0
27	Node11	2	dev=local(2)	OutNacks	0	0	0	0
27	Node11	2	dev=local(2)	DropNacks	0	0	0	0
27	Node11	2	dev=local(2)	InData	3.66336	0	4	0
27	Node11	2	dev=local(2)	OutData	1.66528	0	2	0
27	Node11	2	dev=local(2)	DropData	0	0	0	0
27	Node11	2	dev=local(2)	InSatisfiedInterests	1.66528	0	2	0
27	Node11	2	dev=local(2)	InTimedOutInterests	6.94157e-11	0	0	0
27	Node11	2	dev=local(2)	OutSatisfiedInterests	3.66336	0	4	0
27	Node11	2	dev=local(2)	OutTimedOutInterests	0	0	0	0
27	Node11	-1	all	SatisfiedInterests	5.32864	0	6	0
27	Node11	-1	all	TimedOutInterests	6.94157e-11	0	0	0
27	Node12	0	dev=net(0)	InInterests	1.66528	0	2	0
27	Node12	0	dev=net(0)	OutInterests	3.66592	0.274986	4	0.308594
27	Node12	0	dev=net(0)	DropInterests	0	0	0	0
27	Node12	0	dev=net(0)	InNacks	0	0	0	0
27	Node12	0	dev=net(0)	OutNacks	0	0	0	0
27	Node12	0	dev=net(0)	DropNacks	0	0	0	0
27	Node12	0	dev=net(0)	InData	3.66336	0	4	0
27	Node12	0	dev=net(0)	OutData	1.66528	0.120343	2	0.144531
27	Node12	0	dev=net(0)	DropData	0	0	0	0
27	Node12	0	dev=net(0)	InSatisfiedInterests	1.66528	0	2	0
27	Node12	0	dev=net(0)	InTimedOutInterests	9.03873e-11	0	0	0
27	Node12	0	dev=net(0)	OutSatisfiedInterests	3.66336	0	4	0
27	Node12	0	dev=net(0)	OutTimedOutInterests	0	0	0	0
27	Node12	2	dev=net(2)	InInterests	3.66592	0	4	0
27	Node12	2	dev=net(2)	OutInterests	1.66528	0.0731813	2	0.0878906
27	Node12	2	dev=net(2)	DropInterests	0	0	0	0
27	Node12	2	dev=net(2)	InNacks	0	0	0	0
27	Node12	2	dev=net(2)	OutNacks	0	0	0	0
27	Node12	2	dev=net(2)	DropNacks	0	0	0	0
27	Node12	2	dev=net(2)	InData	1.66528	0	2	0
27	Node12	2	dev=net(2)	OutData	3.66336	0.615979	4	0.679688
27	Node12	2	dev=net(2)	DropData	0	0	0	0
27	Node12	2	dev=net(2)	InSatisfiedInterests	3.66336	0	4	0
27	Node12	2	dev=net(2)	InTimedOutInterests	0	0	0	0
27	Node12	2	dev=net(2)	OutSatisfiedInterests	1.66528	0	2	0
27	Node12	2	dev=net(2)	OutTimedOutInterests	9.03873e-11	0	0	0
27	Node12	-1	all	SatisfiedInterests	5.32864	0	6	0
27	Node12	-1	all	TimedOutInterests	9.03873e-11	0	0	0
27	Node21	0	dev=net(0)	InInterests	3.66592	0	4	0
27	Node21	0	dev=net(0)	OutInterests	0.83328	0.0366188	1	0.0439453
27	Node21	0	dev=net(0)	DropInterests	2.89239e-14	0	0	0
27	Node21	0	dev=net(0)	InNacks	0	0	0	0
27	Node21	0	dev=net(0)	OutNacks	0	0	0	0
27	Node21	0	dev=net(0)	DropNacks	0	0	0	0
27	Node21	0	dev=net(0)	InData	0.83328	0	1	0
27	Node21	0	dev=net(0)	OutData	3.66336	0.615979	4	0.679688
27	Node21	0	dev=net(0)	DropData	0	0	0	0
27	Node21	0	dev=net(0)	InSatisfiedInterests	3.66336	0	4	0
27	Node21	0	dev=net(0)	InTimedOutInterests	9.03873e-11	0	0	0
27	Node21	0	dev=net(0)	OutSatisfiedInterests	0.83328	0	1	0
27	Node21	0	dev=net(0)	OutTimedOutInterests	9.03873e-11	0	0	0
27	Node21	1	dev=net(1)	InInterests	0.83328	0	1	0
27	Node21	1	dev=net(1)	OutInterests	3.66592	0.274986	4	0.308594
